Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2022-07-05,2022,7,5,Tuesday,27,2022-27,223.0,233.15,216.17,233.07,84581100,233.07,0.0,233.07,233.07
2022-07-06,2022,7,6,Wednesday,27,2022-27,230.78,234.56,227.19,231.73,71853600,231.73,-0.005720802000385383,232.39999999999998,232.39999999999998
2022-07-07,2022,7,7,Thursday,27,2022-27,233.92,245.36,232.21,244.54,81930600,244.54,0.055279044880592876,236.44666666666663,236.44666666666663
2022-07-08,2022,7,8,Friday,27,2022-27,242.33,254.98,241.16,250.76,101854200,250.76,0.02543516968760029,240.02499999999998,240.02499999999998
2022-07-11,2022,7,11,Monday,28,2022-28,252.1,253.06,233.63,234.34,99241200,234.34,-0.06548005948146851,238.888,238.888
2022-07-12,2022,7,12,Tuesday,28,2022-28,236.85,239.77,228.37,233.07,87930900,233.07,-0.005433611636988744,237.91833333333332,237.91833333333332
2022-07-13,2022,7,13,Wednesday,28,2022-28,225.5,242.06,225.03,237.04,97954500,237.04,0.017033448479672808,237.79285714285714,237.79285714285714
2022-07-14,2022,7,14,Thursday,28,2022-28,234.9,238.65,229.33,238.31,78557400,238.31,0.005371861218914864,237.8575,237.8575
2022-07-15,2022,7,15,Friday,28,2022-28,240.0,243.62,236.89,240.07,69683100,240.07,0.0073572315408600986,238.10333333333332,238.10333333333332
2022-07-18,2022,7,18,Monday,29,2022-29,244.94,250.52,239.6,240.55,82537500,240.55,0.001999426810217919,238.348,238.348
2022-07-19,2022,7,19,Tuesday,29,2022-29,245.0,247.14,236.98,245.53,80890200,245.53,0.020716718219316865,239.00090909090906,239.00090909090906
2022-07-20,2022,7,20,Wednesday,29,2022-29,246.78,250.66,243.48,247.5,88864200,247.5,0.008023464466653252,239.70916666666665,239.70916666666665
2022-07-21,2022,7,21,Thursday,29,2022-29,255.11,273.27,254.87,271.71,142032300,271.71,0.09780470722853529,242.17076923076922,242.17076923076922
2022-07-22,2022,7,22,Friday,29,2022-29,276.22,280.79,270.71,272.24,103472700,272.24,0.0019752262198982073,244.31857142857143,244.31857142857143
2022-07-25,2022,7,25,Monday,30,2022-30,272.22,274.15,267.4,268.43,64073400,268.43,-0.013994935471540293,246.8442857142857,245.926
2022-07-26,2022,7,26,Tuesday,30,2022-30,266.51,267.31,256.26,258.86,66820800,258.86,-0.0356637312112531,248.78214285714284,246.734375
2022-07-27,2022,7,27,Wednesday,30,2022-30,263.81,275.93,261.79,274.82,88110000,274.82,0.061655036992220635,250.94499999999996,248.38647058823528
2022-07-28,2022,7,28,Thursday,30,2022-30,280.07,283.3,272.8,280.9,84723000,280.9,0.02212352234272652,253.09785714285712,250.1927777777778
2022-07-29,2022,7,29,Friday,30,2022-30,280.7,298.32,279.1,297.15,95313000,297.15,0.05784976985791013,257.5842857142857,252.66421052631577
2022-08-01,2022,8,1,Monday,31,2022-31,301.28,311.88,295.0,297.28,117042900,297.28,0.00042631152414229767,262.1707142857143,254.89499999999998
2022-08-02,2022,8,2,Tuesday,31,2022-31,294.0,307.83,292.67,300.59,95577600,300.59,0.011134400598203698,266.71,257.07095238095235
2022-08-03,2022,8,3,Wednesday,31,2022-31,305.0,309.55,301.15,307.4,80091000,307.4,0.02265568716125621,271.645,259.3586363636363
2022-08-04,2022,8,4,Thursday,31,2022-31,311.0,313.61,305.0,308.63,72256200,308.63,0.004023022853486102,276.5421428571429,261.5008695652174
2022-08-05,2022,8,5,Friday,31,2022-31,302.67,304.61,285.54,288.17,113172900,288.17,-0.0663030068235908,279.94357142857143,262.6120833333333
2022-08-08,2022,8,8,Monday,32,2022-32,295.0,305.2,289.09,290.42,98994000,290.42,0.007819434052879659,283.15,263.7244
2022-08-09,2022,8,9,Tuesday,32,2022-32,290.29,292.4,279.35,283.33,86244600,283.33,-0.024412625864385085,285.7092857142857,264.47846153846154
2022-08-10,2022,8,10,Wednesday,32,2022-32,297.07,297.51,283.37,294.36,94918800,294.36,0.03890581776676605,287.32714285714286,265.5851851851852
2022-08-11,2022,8,11,Thursday,32,2022-32,296.51,298.24,285.83,286.63,70155000,286.63,-0.026249292544206493,288.35499999999996,266.3367857142857
2022-08-12,2022,8,12,Friday,32,2022-32,289.42,300.16,285.03,300.03,79657200,300.03,0.046750143628413676,290.6121428571428,267.4986206896552
2022-08-15,2022,8,15,Monday,33,2022-33,301.79,313.13,301.23,309.32,89359200,309.32,0.03096359891583922,294.21642857142854,268.8926666666667
2022-08-16,2022,8,16,Tuesday,33,2022-33,311.67,314.67,302.88,306.56,88136400,306.56,-0.008912075793144236,296.48357142857145,270.1077419354839
2022-08-17,2022,8,17,Wednesday,33,2022-33,303.4,309.66,300.03,304.0,68766000,304.0,-0.008372333511224461,298.13357142857143,271.166875
2022-08-18,2022,8,18,Thursday,33,2022-33,306.0,306.5,301.85,302.87,47500500,302.87,-0.0037062197211366055,298.5421428571429,272.12757575757576
2022-08-19,2022,8,19,Friday,33,2022-33,299.0,300.36,292.5,296.67,61395300,296.67,-0.020481852686155544,298.49857142857144,272.84941176470585
2022-08-22,2022,8,22,Monday,34,2022-34,291.91,292.4,286.3,289.91,55843200,289.91,-0.022764022407583906,297.7357142857143,273.3368571428571
2022-08-23,2022,8,23,Tuesday,34,2022-34,291.45,298.83,287.92,296.45,63984900,296.45,0.0225584954757323,296.9535714285715,273.9788888888889
2022-08-24,2022,8,24,Wednesday,34,2022-34,297.56,303.65,296.5,297.1,57259800,297.1,0.002170125887066332,296.13,274.6037837837838
2022-08-25,2022,8,25,Thursday,34,2022-34,302.36,302.96,291.6,296.07,53230000,296.07,-0.003455684406709514,296.6942857142857,275.1686842105263
2022-08-26,2022,8,26,Friday,34,2022-34,297.43,302.0,287.47,288.09,57163900,288.09,-0.026953121859416895,296.52785714285716,275.5
2022-08-29,2022,8,29,Monday,35,2022-35,282.83,287.74,280.7,284.82,41864700,284.82,-0.01135058160727187,296.63428571428574,275.733
2022-08-30,2022,8,30,Tuesday,35,2022-35,287.87,288.48,272.65,277.7,50541800,277.7,-0.0249982267189629,295.44428571428574,275.7809756097561
2022-08-31,2022,8,31,Wednesday,35,2022-35,280.62,281.25,271.81,275.61,52107300,275.61,-0.007526203685978228,294.65714285714284,275.77690476190475
2022-09-01,2022,9,1,Thursday,35,2022-35,272.58,277.58,266.15,277.16,54287000,277.16,0.005623955563764049,293.0235714285714,275.8090697674418
2022-09-02,2022,9,2,Friday,35,2022-35,281.07,282.35,269.08,270.21,50890100,270.21,-0.02507581222110289,290.23,275.6818181818182
2022-09-06,2022,9,6,Tuesday,36,2022-36,272.68,275.99,265.74,274.42,55860000,274.42,0.015580556255471167,287.9342857142857,275.6537777777778
2022-09-07,2022,9,7,Wednesday,36,2022-36,273.1,283.84,272.27,283.7,50028900,283.7,0.03381677109982606,286.4842857142857,275.8286956521739
2022-09-08,2022,9,8,Thursday,36,2022-36,281.3,289.5,279.76,289.26,53713100,289.26,0.01959815762903916,285.5121428571428,276.11446808510635
2022-09-09,2022,9,9,Friday,36,2022-36,291.67,299.85,291.25,299.68,54338100,299.68,0.03602289482946186,285.7271428571429,276.60541666666666
2022-09-12,2022,9,12,Monday,37,2022-37,300.72,305.49,300.4,304.42,48674600,304.42,0.01581694096302666,286.7635714285714,277.1730612244898
2022-09-13,2022,9,13,Tuesday,37,2022-37,292.9,297.4,290.4,292.13,68229600,292.13,-0.04037188096320543,286.455,277.4722
2022-09-14,2022,9,14,Wednesday,37,2022-37,292.24,306.0,291.64,302.61,72628700,302.61,0.03587437200418364,286.84857142857146,278.863
2022-09-15,2022,9,15,Thursday,37,2022-37,301.83,309.12,300.72,303.75,64795500,303.75,0.003767273730617582,287.39714285714285,280.3034
2022-09-16,2022,9,16,Friday,37,2022-37,299.61,303.71,295.6,303.35,87087800,303.35,-0.0013168523341049454,288.4871428571428,281.4796
2022-09-19,2022,9,19,Monday,38,2022-38,300.09,309.84,297.8,309.07,60231200,309.07,0.018856110452001085,290.2192857142857,282.6458
2022-09-20,2022,9,20,Tuesday,38,2022-38,306.91,313.33,305.58,308.73,61642800,308.73,-0.0011000625419275156,292.43571428571425,284.1336
2022-09-21,2022,9,21,Wednesday,38,2022-38,308.29,313.8,300.63,300.8,62555700,300.8,-0.025685948599634356,294.235,285.4882
2022-09-22,2022,9,22,Thursday,38,2022-38,299.86,301.29,285.82,288.59,70545400,288.59,-0.040591728559117746,295.0514285714286,286.5192
2022-09-23,2022,9,23,Friday,38,2022-38,283.09,284.5,272.82,275.33,63748400,275.33,-0.04594757245188685,295.4171428571429,287.2596
2022-09-26,2022,9,26,Monday,39,2022-39,271.83,284.09,270.31,276.01,58076900,276.01,0.0024698479153155706,295.5307142857142,287.9784
2022-09-27,2022,9,27,Tuesday,39,2022-39,283.84,288.67,277.51,282.94,61925200,282.94,0.02510775852537339,295.4764285714286,288.8262
2022-09-28,2022,9,28,Wednesday,39,2022-39,283.08,289.0,277.57,287.81,54664800,287.81,0.017212112374233923,295.3728571428572,289.6718
2022-09-29,2022,9,29,Thursday,39,2022-39,282.76,283.65,265.78,268.21,77620600,268.21,-0.06810050474193607,293.125,290.086
2022-09-30,2022,9,30,Friday,39,2022-39,266.15,275.57,262.47,265.25,67726600,265.25,-0.011036096899372572,290.32714285714286,289.9568
2022-10-03,2022,10,3,Monday,40,2022-40,254.5,255.16,241.01,242.4,98363500,242.4,-0.08614516909902215,286.77500000000003,289.36
2022-10-04,2022,10,4,Tuesday,40,2022-40,250.52,257.5,242.01,249.44,109578500,249.44,0.029042940273044104,282.97714285714284,288.9802
2022-10-05,2022,10,5,Wednesday,40,2022-40,245.01,246.67,233.27,240.81,86982700,240.81,-0.034597517632881325,278.4814285714286,288.6192
2022-10-06,2022,10,6,Thursday,40,2022-40,239.44,244.58,235.35,238.13,69298400,238.13,-0.011129075632041241,273.8228571428571,287.8854
2022-10-07,2022,10,7,Friday,40,2022-40,233.94,234.57,222.02,223.07,83916800,223.07,-0.06324275500689214,267.68,286.72880000000004
2022-10-10,2022,10,10,Monday,41,2022-41,223.93,226.99,218.36,222.96,67925000,222.96,-0.0004931214719139376,261.55357142857144,285.245
2022-10-11,2022,10,11,Tuesday,41,2022-41,220.95,225.75,215.0,216.5,77013200,216.5,-0.02897383620084637,255.53214285714284,283.6294
2022-10-12,2022,10,12,Wednesday,41,2022-41,215.33,219.3,211.51,217.24,66860700,217.24,0.003418039229395209,250.43571428571428,281.9624
2022-10-13,2022,10,13,Thursday,41,2022-41,208.3,222.99,206.22,221.72,91483000,221.72,0.020622332969329804,246.60642857142858,280.2488
2022-10-14,2022,10,14,Friday,41,2022-41,224.01,226.26,204.16,204.99,94124500,204.99,-0.07545550981161053,241.5335714285714,278.176
2022-10-17,2022,10,17,Monday,42,2022-42,210.04,221.86,209.45,219.35,79428800,219.35,0.07005219876844393,236.99142857142857,276.7996
2022-10-18,2022,10,18,Tuesday,42,2022-42,229.5,229.82,217.25,220.19,75891900,220.19,0.003829479437051919,232.16142857142856,275.395
